task,seed,steps,attempts,successes,reward_sum,punishment_sum,puzzle_reward_events,puzzle_punish_events,puzzle_correct_events,grid_energy_events,motor_flat_events,motor_range_sum_q16,motor_range_max_q16,action_repeat,delta_count,mean_weight_delta,mean_abs_weight_delta,mean_dopamine,da_tonic_mean,spike_mean,spike_max,bg_drive_mean,bg_veto_mean,motor_plan_mean,spinal_motor_mean,locomotion_mean,eligibility_overlap,bg_d1_elig_mean_abs,bg_d2_elig_mean_abs,bg_d1_weight_mean_abs,bg_d2_weight_mean_abs,bg_d1_weight_mean_abs_delta,bg_d2_weight_mean_abs_delta,bg_d1_weight_mean_abs_delta_learn,bg_d2_weight_mean_abs_delta_learn,bg_d1_weight_mean_abs_delta_freeze,bg_d2_weight_mean_abs_delta_freeze,ec_dg_delta_count,hippocampal_gate_mean,hippocampal_context_mean,hippocampal_elig_overlap_mean,hippocampal_ec_gate_hits_mean,hippocampal_da_gate_hits_mean,effective_da_mean,phasic_da_mean,error_phasic_mean,dopamine_gate_threshold,dopamine_gate_open_frac,reward_signal_mean,punishment_signal_mean,rpe_signed_mean,cortisol_mean,habenula_inhib_mean,rmtg_inhib_mean,bnst_inhib_mean,septum_inhib_mean,gpi_to_habenula_mean,vp_omission_mean,sensory_input_mean_abs,vision_input_mean_abs,motion_input_mean_abs,ec_input_mean_abs,dg_activation_mean_abs,ca3_retrieval_mean_abs,ca1_context_mean_abs,should_encode_frac,allow_hebbian_frac,dg_active_count,consolidation_replay_count,persistent_plasticity_delta_count,flash_count,flash_score_max,ca3_pattern_max,ec_dg_delta_max,plasticity_event_max,plasticity_ltp_count,plasticity_ltd_count,critic_burst_max,shlut_full_brain_frac,shlut_mismatch_frac

grid_nav@total,0x00003039,400,400,7,5.775458,0.000000,0,0,135,7,0,26833684,116599,321,0,0.000000e+00,0.000000e+00,6.100939e-01,5.381515e-01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0,2.375022e-01,9.504851e-01,0.000000e+00,0.000000e+00,0.000000e+00,5.672624e-01,7.194246e-02,2.592239e-02,1.000000e-02,9.675810e-01,1.646016e-02,0.000000e+00,5.042272e-03,5.013537e-01,6.310132e-01,0.000000e+00,0.000000e+00,0.000000e+00,8.995867e-02,1.750271e-02,5.742187e-02,5.000000e-01,8.408730e+00,2.619743e-02,3.031040e-01,1.746610e-01,9.601746e-01,1.000000e+00,4.713217e-01,51,0,0,0,0.000000,1024,0,0,2063520601,16148754195,0,1.000000,1.000000
sokoban@total,0x00003039,800,800,14,11.550923,0.000000,0,0,279,14,0,52158221,121194,639,0,0.000000e+00,0.000000e+00,6.113044e-01,5.448742e-01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0,2.264799e-01,9.491502e-01,0.000000e+00,0.000000e+00,0.000000e+00,5.703660e-01,6.643017e-02,2.911698e-02,1.000000e-02,9.498747e-01,2.274613e-02,0.000000e+00,2.328958e-04,4.980143e-01,6.754331e-01,0.000000e+00,0.000000e+00,0.000000e+00,8.496521e-02,2.344134e-02,5.601807e-02,5.109375e-01,7.043267e+00,2.590806e-02,3.008110e-01,1.759833e-01,9.692421e-01,1.000000e+00,4.586466e-01,53,0,0,0,0.000000,1024,0,0,4209893004,36838851569,0,1.000000,1.000000
sudoku@total,0x00003039,400,400,115,115.000000,0.000000,115,0,114,0,18,19127828,95818,366,0,0.000000e+00,0.000000e+00,5.744788e-01,5.136328e-01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0,2.193738e-01,9.398588e-01,0.000000e+00,0.000000e+00,0.000000e+00,5.424214e-01,6.084600e-02,5.173544e-02,1.000000e-02,8.980100e-01,7.462687e-02,0.000000e+00,-1.109483e-02,4.112112e-01,7.394062e-01,0.000000e+00,0.000000e+00,0.000000e+00,5.300613e-02,4.841458e-02,4.687500e-02,4.687500e-02,8.349318e+00,2.812500e-02,4.001791e-01,1.685303e-01,1.136444e+00,1.000000e+00,4.527363e-01,54,0,0,0,0.000000,1024,0,0,2483134199,19157030585,0,1.000000,1.000000
pattern@total,0x00003039,399,399,102,103.362442,0.000000,102,0,101,2,45,20507553,95818,337,0,0.000000e+00,0.000000e+00,5.626311e-01,4.800558e-01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0,2.723178e-01,9.354724e-01,0.000000e+00,0.000000e+00,0.000000e+00,5.348140e-01,8.257526e-02,1.143993e-01,1.000000e-02,9.675000e-01,1.600000e-01,0.000000e+00,4.366543e-02,3.424106e-01,6.155313e-01,0.000000e+00,0.000000e+00,0.000000e+00,1.358965e-01,4.518196e-02,1.562500e-02,1.562500e-02,7.668423e+00,9.375000e-03,1.147128e-01,6.112716e-01,7.784767e-01,1.000000e+00,4.750000e-01,52,0,0,0,0.000000,1024,0,0,3022703960,14173176161,0,1.000000,1.000000
manipulation@total,0x00003039,401,401,70,70.825066,0.000000,70,0,72,1,129,17405526,95818,255,0,0.000000e+00,0.000000e+00,6.383336e-01,5.991628e-01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0,2.262544e-01,8.964292e-01,0.000000e+00,0.000000e+00,0.000000e+00,6.180583e-01,3.917081e-02,8.551648e-02,1.000000e-02,9.748744e-01,3.944724e-01,0.000000e+00,1.449735e-02,4.742838e-01,7.507743e-01,0.000000e+00,0.000000e+00,0.000000e+00,2.811828e-01,4.967671e-02,1.562500e-02,1.562500e-02,8.613255e+00,9.375000e-03,7.893385e-02,1.635797e-01,9.512482e-01,1.000000e+00,4.824121e-01,51,0,0,0,0.000000,1024,0,0,2667634672,20344692060,0,1.000000,1.000000
battery@total,0x00003039,2400,1200,166,165.438156,0.000000,155,0,347,13,50,69402458,119326,995,15378888,-9.763737e-01,9.763737e-01,6.078254e-01,1.072982e+00,7.927805e+03,3.889360e+05,2.517226e-01,1.563148e-01,6.586208e-01,8.402961e-01,1.680592e+00,0.000000e+00,4.172325e-07,4.172325e-07,1.000000e+00,7.925581e-01,4.501953e-01,1.426557e-01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,536119,2.347370e-01,9.367893e-01,4.314884e+01,1.770863e+01,1.770863e+01,5.671490e-01,6.458540e-02,5.594963e-02,1.000000e-02,9.512297e-01,2.297933e-01,0.000000e+00,1.748650e-02,9.079120e-01,1.361912e+00,0.000000e+00,0.000000e+00,0.000000e+00,2.428779e-01,6.919296e-02,1.562500e-02,1.562500e-02,3.838282e+00,9.375000e-03,7.930779e-02,1.635797e-01,9.472504e-01,1.000000e+00,4.664444e-01,51,536119,4096,0,0.000000,1024,167,0,14446886436,106790833560,0,1.000000,1.000000
grid_nav@learn,0x00003039,200,200,5,4.125317,0.000000,0,0,68,5,0,13184050,110065,161,0,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0,0,0,0,0.000000,0,0,0,0,0,0,0.000000,0.000000
sokoban@learn,0x00003039,400,400,6,4.950387,0.000000,0,0,127,6,0,25469350,119326,312,0,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0,0,0,0,0.000000,0,0,0,0,0,0,0.000000,0.000000
sudoku@learn,0x00003039,200,200,58,58.000000,0.000000,58,0,56,0,10,9338348,95818,182,0,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0,0,0,0,0.000000,0,0,0,0,0,0,0.000000,0.000000
pattern@learn,0x00003039,200,200,54,54.537380,0.000000,54,0,52,1,17,10024986,95818,174,0,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0,0,0,0,0.000000,0,0,0,0,0,0,0.000000,0.000000
manipulation@learn,0x00003039,200,200,43,43.825066,0.000000,43,0,44,1,23,11385724,95818,164,0,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0,0,0,0,0.000000,0,0,0,0,0,0,0.000000,0.000000
battery@learn,0x00003039,2400,1200,166,165.438156,0.000000,155,0,347,13,50,69402458,119326,995,15378888,-9.763737e-01,9.763737e-01,6.078254e-01,1.072982e+00,7.927805e+03,3.889360e+05,2.517226e-01,1.563148e-01,6.586208e-01,8.402961e-01,1.680592e+00,0.000000e+00,4.172325e-07,4.172325e-07,1.000000e+00,7.925581e-01,4.501953e-01,1.426557e-01,4.501953e-01,1.426557e-01,0.000000e+00,0.000000e+00,536119,2.347370e-01,9.367893e-01,4.314884e+01,1.770863e+01,1.770863e+01,5.671490e-01,6.458540e-02,5.594963e-02,1.000000e-02,9.512297e-01,2.297933e-01,0.000000e+00,1.748650e-02,9.079120e-01,1.361912e+00,0.000000e+00,0.000000e+00,0.000000e+00,2.428779e-01,6.919296e-02,1.562500e-02,1.562500e-02,3.838282e+00,9.375000e-03,7.930779e-02,1.635797e-01,9.472504e-01,1.000000e+00,4.664444e-01,51,536119,4096,0,0.000000,1024,167,0,14446886436,106790833560,0,1.000000,1.000000
grid_nav@freeze,0x00003039,200,200,2,1.650142,0.000000,0,0,67,2,0,13649634,116599,160,0,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0,0,0,0,0.000000,0,0,0,0,0,0,0.000000,0.000000
sokoban@freeze,0x00003039,400,400,8,6.600536,0.000000,0,0,152,8,0,26688871,121194,327,0,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0,0,0,0,0.000000,0,0,0,0,0,0,0.000000,0.000000
sudoku@freeze,0x00003039,200,200,57,57.000000,0.000000,57,0,58,0,8,9789480,95818,184,0,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0,0,0,0,0.000000,0,0,0,0,0,0,0.000000,0.000000
pattern@freeze,0x00003039,199,199,48,48.825066,0.000000,48,0,49,1,28,10482567,95247,163,0,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0,0,0,0,0.000000,0,0,0,0,0,0,0.000000,0.000000
manipulation@freeze,0x00003039,201,201,27,27.000000,0.000000,27,0,28,0,106,6019802,95818,91,0,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0,0,0,0,0.000000,0,0,0,0,0,0,0.000000,0.000000
battery@freeze,0x00003039,2400,1200,142,141.075745,0.000000,132,0,354,11,142,66630354,121194,927,15378888,-9.763737e-01,9.763737e-01,6.078254e-01,1.072982e+00,7.927805e+03,3.889360e+05,2.517226e-01,1.563148e-01,6.586208e-01,8.402961e-01,1.680592e+00,0.000000e+00,4.172325e-07,4.172325e-07,1.000000e+00,7.925581e-01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,536119,2.347370e-01,9.367893e-01,4.314884e+01,1.770863e+01,1.770863e+01,5.671490e-01,6.458540e-02,5.594963e-02,1.000000e-02,9.512297e-01,2.297933e-01,0.000000e+00,1.748650e-02,9.079120e-01,1.361912e+00,0.000000e+00,0.000000e+00,0.000000e+00,2.428779e-01,6.919296e-02,1.562500e-02,1.562500e-02,3.838282e+00,9.375000e-03,7.930779e-02,1.635797e-01,9.472504e-01,1.000000e+00,4.664444e-01,51,0,0,0,0.000000,1024,167,0,0,0,0,1.000000,1.000000
